_id,language,corpus_id,part_of_speech_id,lemma_id,word_text
31f1795a-58ba-4f95-aeb7-e0c1c6d3d8a5,es,e293ef3c-db3f-447f-b59d-e0975c327f95,ac633486-7a0b-428b-88ff-60bd41cbbee0,e27b0dbb-27b2-4449-bf52-86baa267bb01,hacecillos
353fd1b7-d89e-4e29-b2ce-80fc3545b3f0,es,e293ef3c-db3f-447f-b59d-e0975c327f95,976afdac-7234-4b6a-ade4-ea83d9368dfb,7685844e-ba70-402d-8b64-7693b4ac31a2,bastillas
664efdd0-5409-4428-84c2-f089094fa437,es,e293ef3c-db3f-447f-b59d-e0975c327f95,94e37d61-460d-4187-bfd9-7edb67150172,d96a9772-74df-426a-b11e-4fb178a943c1,corroída
9c64c4ea-561b-4b52-b8cd-c70d7c05f52b,es,e293ef3c-db3f-447f-b59d-e0975c327f95,2ca4acd7-d0f8-45d2-98ce-d270e86b6489,fc68097a-b577-4bda-a528-46e15171c433,PUESTA
09a5f76f-6159-4809-af4e-c30fc3589752,es,e293ef3c-db3f-447f-b59d-e0975c327f95,2ca4acd7-d0f8-45d2-98ce-d270e86b6489,776e7c4d-5444-41bb-b447-0bed4414a3fd,Subdiácono
4d7dba7b-a0b6-470d-8930-c3c5f967a83a,es,e293ef3c-db3f-447f-b59d-e0975c327f95,cf503d05-6cdb-49af-a3dc-de76e42eb56c,4901bc5d-1beb-4b53-8907-5206d609b520,uriel
aa2a6f7b-cac2-4560-98bf-20a6f7ca9483,es,e293ef3c-db3f-447f-b59d-e0975c327f95,b4bc6be3-2db0-4741-b3ea-3b85d5ea7c37,50e657bc-9a12-458b-86b4-2641b25b5b98,Place
1b599ca2-7236-45ed-9de1-a306a99dfb82,es,e293ef3c-db3f-447f-b59d-e0975c327f95,ed5853b2-9dbd-40d3-9247-ed70cd34f9a2,f1f18f3e-0dcf-4800-9d92-bc27fc638e1c,Vengadores
a7c09aa2-7ce8-412e-88b9-30e98f25f58a,es,e293ef3c-db3f-447f-b59d-e0975c327f95,cf503d05-6cdb-49af-a3dc-de76e42eb56c,40fa7842-a29b-43d7-9c7d-036c301db873,millia
7b3d0e45-1299-4e26-8164-7285ea09a644,es,e293ef3c-db3f-447f-b59d-e0975c327f95,2ca4acd7-d0f8-45d2-98ce-d270e86b6489,9ffef098-4fa5-4cfd-9499-ccdc530e5bff,Pilosum
db889d4f-dd20-445b-9602-a04a3023f4e7,es,e293ef3c-db3f-447f-b59d-e0975c327f95,2ca4acd7-d0f8-45d2-98ce-d270e86b6489,6f937a87-6bfe-4626-b209-7285742c6ca8,Maassluis
4f1959a4-317c-4055-8942-e1ffbcfba414,es,e293ef3c-db3f-447f-b59d-e0975c327f95,2ca4acd7-d0f8-45d2-98ce-d270e86b6489,8c491a9a-0805-40f8-8906-6b72d8910f58,AMOS
0b6db2fa-858a-4be6-b272-a422f3087246,es,e293ef3c-db3f-447f-b59d-e0975c327f95,ac633486-7a0b-428b-88ff-60bd41cbbee0,0a675711-e0ea-4ea1-93fc-dbdc6b7ecdc1,Amos
82083d8f-311d-4383-91d5-9b55f20a02cc,es,e293ef3c-db3f-447f-b59d-e0975c327f95,ac633486-7a0b-428b-88ff-60bd41cbbee0,0a675711-e0ea-4ea1-93fc-dbdc6b7ecdc1,AMOS
03e551c0-790e-458f-9e3e-841febb8adf1,es,e293ef3c-db3f-447f-b59d-e0975c327f95,9926f141-6a38-438e-9ad0-eb6550d8f10a,c93d478a-1bf5-4765-ad7b-dab2726b5201,FORO
80542c19-9990-4eb4-a8e8-2bb52332b3a8,es,e293ef3c-db3f-447f-b59d-e0975c327f95,2ca4acd7-d0f8-45d2-98ce-d270e86b6489,0836f85e-785d-4781-b919-ab6896992794,CUARTEL
01bdde9d-61cd-43e7-bccf-e28cc6092e47,es,e293ef3c-db3f-447f-b59d-e0975c327f95,9926f141-6a38-438e-9ad0-eb6550d8f10a,26e7f50f-e28b-40c8-9fbb-1793c1ac431f,COLISEO
97db22e0-4342-4727-b1e3-ddfca91e076f,es,e293ef3c-db3f-447f-b59d-e0975c327f95,2ca4acd7-d0f8-45d2-98ce-d270e86b6489,deb22a4b-589a-4458-aa27-052231f06aba,TABERNA
b8e076d1-3dc0-45c0-bc47-dc6d0740d37c,es,e293ef3c-db3f-447f-b59d-e0975c327f95,cf503d05-6cdb-49af-a3dc-de76e42eb56c,e3f61c53-6047-489a-b2bd-b1452e726e6f,HERRERÍA
d15aec24-2194-46cc-a0ce-46ef01294391,es,e293ef3c-db3f-447f-b59d-e0975c327f95,9926f141-6a38-438e-9ad0-eb6550d8f10a,491a5360-ab08-46d1-b237-99de364ec087,TEMPLO
c3730e60-47df-40ee-af71-76fced9dfb5d,es,e293ef3c-db3f-447f-b59d-e0975c327f95,ec1c2ed6-17f8-4bf3-b8b0-2434fb78e8ae,5eb7c82f-e22a-457f-9fee-8f0abba17a85,Habitados
1787e283-d3d7-452e-8ba6-db49953827de,es,e293ef3c-db3f-447f-b59d-e0975c327f95,2ca4acd7-d0f8-45d2-98ce-d270e86b6489,a0ea27ea-4891-4d6b-b8fa-c295c3d0c249,FONDOS
5c2195b2-6741-4e0b-9a92-13eaf45dfa27,es,e293ef3c-db3f-447f-b59d-e0975c327f95,5cdeec32-d13c-4110-8f43-fce39738bf9e,faf4cf80-f353-4ab9-8bc5-7d75564658a1,resolveríamos
06230539-5d9d-4d66-8d2d-16d1418540f4,es,e293ef3c-db3f-447f-b59d-e0975c327f95,f1bb22e7-ecd1-4a6c-94b4-8ec2bee83ef8,79cfaa43-78f9-4187-9c7d-882e64b5c728,Lace
2a83a9b7-c3a5-42c8-81b6-b8f59131f9e5,es,e293ef3c-db3f-447f-b59d-e0975c327f95,ed5853b2-9dbd-40d3-9247-ed70cd34f9a2,25d1acb2-defe-4b60-97a3-73f3c15041ab,bifloros
9cbf881e-fad0-429f-8352-46e0615ec02c,es,e293ef3c-db3f-447f-b59d-e0975c327f95,da8fb12a-548b-4668-9a07-7420df0978b4,d31a302b-5eb0-46af-b917-6464f3adc617,petaloide
56fccdfb-6e73-430d-83ff-2af1e4da3723,es,e293ef3c-db3f-447f-b59d-e0975c327f95,2ca4acd7-d0f8-45d2-98ce-d270e86b6489,747de355-2805-4f5d-8c67-509a8547bb00,Aphelandra
ff5250a2-5782-484c-96cb-5f9ea63b1af2,es,e293ef3c-db3f-447f-b59d-e0975c327f95,728a8001-9f25-4728-87e1-4625f36897a5,4dd1e174-ac9d-420f-91c1-823a5b7a22c2,ultrapasan
414393dd-8880-4a00-9174-358f7cd2962e,es,e293ef3c-db3f-447f-b59d-e0975c327f95,976afdac-7234-4b6a-ade4-ea83d9368dfb,ca2c9c2a-e0d8-47b4-b882-973ea6a95255,Ocurrencias
a4f0c14e-cfa7-446f-bf05-1853665c34f3,es,e293ef3c-db3f-447f-b59d-e0975c327f95,71100d4a-6dbf-400f-91d6-bef19d37af8a,c35794cf-5191-4fa6-af6e-99b75058ed98,canelas
2f816f66-6e97-40b7-92ef-81ae6ebb9f0b,es,e293ef3c-db3f-447f-b59d-e0975c327f95,71aac0b6-6152-4646-bc9c-b56b75f39db0,bfdfd1fa-d5b6-495d-945f-4cfb4324269c,separemos
3fb951c3-f0bb-40b4-92ca-9f00f7edaec1,es,e293ef3c-db3f-447f-b59d-e0975c327f95,49c3ef58-1f75-4d05-922d-031726ff9adc,62019cc6-b55c-40c2-9ead-56cd0386de04,persuadirá
e790c058-d399-4d24-b5b0-9c1b79958851,es,e293ef3c-db3f-447f-b59d-e0975c327f95,00f6df15-cd56-42bc-81b2-c474e2d442a6,1f3d882a-acd7-4719-abe7-54c692995057,desertarían
