_id,language,corpus_id,word_id,occurrences
9ad84fbb-1000-4c1b-acb5-014b21e6cba3,es,e293ef3c-db3f-447f-b59d-e0975c327f95,9bf68765-46fe-4428-9a0e-346231b28340,1
93b056e9-3ff8-4cd9-a2e2-c4934d3f704c,es,e293ef3c-db3f-447f-b59d-e0975c327f95,7c274215-f8d8-4eea-86c4-322aeb4a5aa7,1
61d00306-b131-4711-9315-3c43174ec2a5,es,e293ef3c-db3f-447f-b59d-e0975c327f95,5edd9b09-c2af-4754-8c5c-da671f6a1554,1
e358bffa-139d-422d-8763-6dfa9161f4b2,es,e293ef3c-db3f-447f-b59d-e0975c327f95,0ecb1d92-4495-4789-97a8-d4fb3701d616,1
2618e1ff-143f-4242-bb2d-ff576e2e4b7b,es,e293ef3c-db3f-447f-b59d-e0975c327f95,47e043d2-b35c-4173-bc8a-1656f4a0c4f2,1
fb88697a-ba00-41c1-b02d-2dc8d022302d,es,e293ef3c-db3f-447f-b59d-e0975c327f95,1f50f3f3-bccb-4ec1-8672-e3faf1abb571,1
20e25797-4f9f-4c47-83e3-529628734c75,es,e293ef3c-db3f-447f-b59d-e0975c327f95,038862b5-dec6-483a-a52a-e2a98779822a,1
8f04ab77-3c91-425f-983d-7ef62a11b10c,es,e293ef3c-db3f-447f-b59d-e0975c327f95,f19d0d33-ee1d-49b7-bb28-c116e48886e9,1
4102f496-2dc1-4e57-8faf-c7a7d8258890,es,e293ef3c-db3f-447f-b59d-e0975c327f95,e79ffed3-f4d6-4743-817d-d83866729cdf,1
fd31cf4d-ed6d-4f9a-b504-58ca341ad764,es,e293ef3c-db3f-447f-b59d-e0975c327f95,95f335ce-efc2-4e7b-a87a-0e2bff96116f,1
b91cd7b6-0f30-49fc-86b8-8f50b8e1c9cc,es,e293ef3c-db3f-447f-b59d-e0975c327f95,9dc4e045-0d3c-40f2-bd4b-4dc0751f73aa,3
a4cb6479-1a25-4dd2-8f7a-582fbc5bf339,es,e293ef3c-db3f-447f-b59d-e0975c327f95,279f0c0a-8204-4ab7-abbc-eba0606bd1ee,2
05090e5c-0dce-4e9c-a5c8-1101a494d2c3,es,e293ef3c-db3f-447f-b59d-e0975c327f95,64a81c3f-2f58-42f4-b6b7-e27bf31d54e4,2
de78efff-2695-4132-9636-91c554bb3598,es,e293ef3c-db3f-447f-b59d-e0975c327f95,13808755-3c75-4451-8587-c630f6fc5612,1
24240ee9-617b-4060-904e-c165a70110d2,es,e293ef3c-db3f-447f-b59d-e0975c327f95,22b8e33c-724a-4f2f-8a49-939b9edd5f2e,1
8328af48-c763-4ead-8eb8-5a08f58b2180,es,e293ef3c-db3f-447f-b59d-e0975c327f95,4c5e7ff1-b06c-4fe7-9207-118c8aff0fd8,2
cff372bf-b16d-4b41-b9d2-8aa3f38a3a2d,es,e293ef3c-db3f-447f-b59d-e0975c327f95,093b56eb-4d0a-43f4-955b-faf5256d25ff,2
0e3461f6-8a73-4b72-8662-26084170e047,es,e293ef3c-db3f-447f-b59d-e0975c327f95,086a831c-5fc4-48d1-a6a0-c240028a55ec,1
f183390d-f983-4866-ac0e-1cdea059465e,es,e293ef3c-db3f-447f-b59d-e0975c327f95,d6567251-e1f3-4d8d-91e2-ba871f946512,2
d157e160-a5f0-4b86-b732-df94e3cf3296,es,e293ef3c-db3f-447f-b59d-e0975c327f95,0c8f55ec-ba02-46c7-8841-4f044da9ac14,2
95e5a99d-388d-419d-9779-aeeb2a8e3d11,es,e293ef3c-db3f-447f-b59d-e0975c327f95,25b63140-b138-4a4f-91c2-0d17c922c41b,5
a7eecca8-1caa-46c5-8d7f-8e533e54012a,es,e293ef3c-db3f-447f-b59d-e0975c327f95,52186464-64b2-4b67-9248-42b96a74579e,13
f22a0f17-2e7b-45ea-84da-f2973e576cf9,es,e293ef3c-db3f-447f-b59d-e0975c327f95,9440e9d3-f742-4cbb-91e5-0b874e14b56e,11
cd945f17-e0f1-427c-bf67-f6983d5f6692,es,e293ef3c-db3f-447f-b59d-e0975c327f95,6d549b6f-324b-4f1a-ba2d-f74a55035f0f,1
7eb26030-2c1f-41a1-9443-4e6c753c9fc3,es,e293ef3c-db3f-447f-b59d-e0975c327f95,503179c9-31e9-42eb-81ad-685ace539697,1
cba279f2-c6b2-44d2-9e3f-26bb2db4580e,es,e293ef3c-db3f-447f-b59d-e0975c327f95,a25e11f2-1e85-45ce-b1bf-a30cde8d5133,1
229ff9d0-30c6-4a92-8f4e-3489ec3a3d30,es,e293ef3c-db3f-447f-b59d-e0975c327f95,ea51a820-21cb-4970-b76c-ef30b5a81905,17
cf9ab3ea-3f9b-4e5b-9d5a-f0f4a75ff112,es,e293ef3c-db3f-447f-b59d-e0975c327f95,31f1795a-58ba-4f95-aeb7-e0c1c6d3d8a5,1
fde37220-85f9-4b1d-9ea7-7bbc7f2f1245,es,e293ef3c-db3f-447f-b59d-e0975c327f95,353fd1b7-d89e-4e29-b2ce-80fc3545b3f0,3
319d3d73-d75f-4e15-b9e2-3de732a933df,es,e293ef3c-db3f-447f-b59d-e0975c327f95,664efdd0-5409-4428-84c2-f089094fa437,2
84abbf91-23ef-4f63-8393-e183add10ba4,es,e293ef3c-db3f-447f-b59d-e0975c327f95,9c64c4ea-561b-4b52-b8cd-c70d7c05f52b,2
4d29dc67-5b7f-4ab5-bdd4-1c6104eac081,es,e293ef3c-db3f-447f-b59d-e0975c327f95,09a5f76f-6159-4809-af4e-c30fc3589752,1
f4968469-b31a-4c2e-b079-c50260b2bf45,es,e293ef3c-db3f-447f-b59d-e0975c327f95,4d7dba7b-a0b6-470d-8930-c3c5f967a83a,1
cb11ae82-0e5f-4a0f-90a4-07a1730a6de5,es,e293ef3c-db3f-447f-b59d-e0975c327f95,aa2a6f7b-cac2-4560-98bf-20a6f7ca9483,1
68387afb-d6d6-4ab0-9230-90595f740ed8,es,e293ef3c-db3f-447f-b59d-e0975c327f95,1b599ca2-7236-45ed-9de1-a306a99dfb82,1
